City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Port Hedland,AU,-20.32,118.57,69.85,83,56,9.22,broken clouds
84,Moche,PE,-8.17,-79.01,59.18,88,90,8.05,mist
85,Schrobenhausen,DE,48.55,11.27,66.29,82,75,8.05,broken clouds
86,Carballo,ES,43.21,-8.69,75.76,64,2,6.04,clear sky
87,Jacqueville,CI,5.21,-4.41,80.51,83,59,8.97,broken clouds
88,Augusto Correa,BR,-1.02,-46.63,89.29,54,8,9.71,clear sky
89,Lazaro Cardenas,MX,17.96,-102.2,81.19,78,98,3.31,overcast clouds
90,Mogadishu,SO,2.04,45.34,78.03,85,33,14.85,scattered clouds
91,Assiniboia,CA,49.63,-105.98,49.91,33,99,17.07,overcast clouds
92,Kyzyl-Suu,KG,42.34,78.01,57.15,51,58,7.0,broken clouds
93,Grindavik,IS,63.84,-22.43,51.75,81,75,10.36,broken clouds
94,Clyde River,CA,70.47,-68.59,32.23,69,75,12.66,broken clouds
95,Krasnyy Chikoy,RU,50.36,108.75,48.18,80,65,1.66,broken clouds
96,Puyang,CN,29.46,119.89,70.88,95,69,1.95,light rain
97,Butaritari,KI,3.07,172.79,81.41,77,40,14.65,light rain
98,Kodiak,US,57.79,-152.41,51.31,93,90,6.91,moderate rain
99,Isangel,VU,-19.55,169.27,71.08,84,39,6.64,scattered clouds
100,Aviles,ES,43.55,-5.92,69.19,73,40,5.75,scattered clouds
101,Cordoba,AR,-31.41,-64.18,79.43,15,0,3.0,clear sky
102,Shubarkuduk,KZ,49.14,56.49,58.42,41,0,8.01,clear sky
103,Mount Isa,AU,-20.73,139.5,62.37,42,4,0.0,clear sky
104,Port Lincoln,AU,-34.73,135.87,59.34,74,11,11.5,few clouds
105,Victor Harbor,AU,-35.57,138.62,73.72,39,46,18.43,light rain
106,Nabire,ID,-3.37,135.48,74.89,89,100,2.37,overcast clouds
107,Kapaa,US,22.08,-159.32,77.32,80,40,11.5,scattered clouds
108,Gold Coast,AU,-28.0,153.43,59.07,77,7,1.99,clear sky
109,Selestat,FR,48.26,7.46,71.71,73,75,6.91,broken clouds
110,Grand Gaube,MU,-20.01,57.66,72.0,85,4,4.0,clear sky
111,Labrea,BR,-7.26,-64.8,89.47,49,74,4.16,broken clouds
112,Antofagasta,CL,-23.65,-70.4,58.28,66,13,9.8,few clouds
113,Lensk,RU,60.73,114.93,39.13,90,100,6.26,overcast clouds
114,San Policarpo,PH,12.18,125.51,77.0,88,100,7.76,overcast clouds
115,Nanortalik,GL,60.14,-45.24,37.45,78,100,3.38,overcast clouds
116,Surt,LY,31.21,16.59,80.92,48,0,11.68,clear sky
117,Kuusamo,FI,65.97,29.18,41.04,65,90,6.91,overcast clouds
118,Aksarayskiy,RU,46.79,48.01,69.75,24,84,12.17,broken clouds
119,Cerrito,CO,6.84,-72.69,58.39,64,40,1.92,scattered clouds
120,Yellowknife,CA,62.46,-114.35,37.92,93,40,10.36,scattered clouds
121,Ponta Do Sol,PT,32.67,-17.1,79.43,71,39,3.89,scattered clouds
122,Pacasmayo,PE,-7.4,-79.57,67.66,73,73,12.75,broken clouds
123,Mokrous,RU,51.23,47.52,49.55,72,82,13.35,broken clouds
124,Tiksi,RU,71.69,128.87,41.86,76,100,4.72,overcast clouds
125,Edd,ER,13.93,41.69,89.83,62,100,13.71,overcast clouds
126,Arraial Do Cabo,BR,-22.97,-42.03,76.96,73,75,5.75,broken clouds
127,Chichihualco,MX,17.68,-99.65,73.27,78,98,1.95,overcast clouds
128,Racale,IT,39.96,18.09,84.07,51,79,11.07,broken clouds
129,Abalak,RU,58.13,68.59,47.7,74,100,4.85,overcast clouds
130,San Pedro,PH,14.35,121.02,79.83,92,90,6.91,heavy intensity rain
131,Torbay,CA,47.67,-52.73,65.17,85,90,21.85,light intensity shower rain
132,Castro,BR,-24.79,-50.01,58.86,93,100,7.94,overcast clouds
133,Marrakesh,MA,31.63,-8.01,87.87,37,75,4.61,broken clouds
134,Xudat,AZ,41.63,48.68,70.57,72,0,13.71,clear sky
135,Tarko-Sale,RU,64.92,77.78,42.49,82,90,11.79,overcast clouds
136,Vanimo,PG,-2.67,141.3,74.93,93,100,5.84,light rain
137,Codrington,AU,-38.27,141.97,46.8,75,34,12.26,scattered clouds
138,Mar Del Plata,AR,-38.0,-57.56,69.82,37,0,10.36,clear sky
139,Gorontalo,ID,0.54,123.06,73.11,98,100,1.99,light rain
140,Manicaragua,CU,22.15,-79.97,79.25,59,49,3.85,scattered clouds
141,Vayalar,IN,9.7,76.33,76.98,86,55,7.61,broken clouds
142,Tiznit,MA,29.58,-9.5,75.0,54,0,13.38,clear sky
143,Leyland,GB,53.7,-2.69,71.49,65,41,1.99,scattered clouds
144,Bentiu,SS,9.23,29.83,77.86,83,59,5.66,moderate rain
145,Pevek,RU,69.7,170.31,31.5,95,100,14.88,light snow
146,Caceres,ES,39.52,-6.37,82.8,39,0,3.98,clear sky
147,Khani,GE,41.96,42.96,62.17,98,83,1.41,broken clouds
148,Cidreira,BR,-30.18,-50.21,61.88,53,24,7.23,few clouds
149,Saint-Michel-Des-Saints,CA,46.68,-73.92,68.05,44,76,5.12,broken clouds
150,Ambalavao,MG,-21.83,46.93,63.66,67,1,4.45,clear sky
151,Barrow,US,71.29,-156.79,33.82,86,90,12.66,mist
152,General Pico,AR,-35.66,-63.76,73.08,28,0,10.18,clear sky
153,Hami,CN,42.8,93.45,77.52,16,19,2.44,few clouds
154,Hemel Hempstead,GB,51.75,-0.48,73.83,67,20,10.36,few clouds
155,Murray Bridge,AU,-35.12,139.27,73.38,43,23,20.36,few clouds
156,Nizhniy Odes,RU,63.64,54.86,41.95,87,100,4.97,overcast clouds
157,Hithadhoo,MV,-0.6,73.08,83.95,70,100,9.75,overcast clouds
158,Galveston,US,29.37,-94.97,81.19,90,90,10.36,mist
159,Kimbe,PG,-5.55,150.14,73.8,93,85,4.56,overcast clouds
160,Nizhnevartovsk,RU,60.93,76.55,51.82,100,75,11.18,broken clouds
161,Kirakira,SB,-10.45,161.92,77.63,84,88,7.94,overcast clouds
162,Bathsheba,BB,13.22,-59.52,90.21,70,75,19.57,broken clouds
163,Gidole,ET,5.65,37.37,63.84,63,91,1.86,overcast clouds
164,Noumea,NC,-22.28,166.46,57.18,73,16,7.76,few clouds
165,Iquitos,PE,-3.75,-73.25,80.64,78,75,4.61,broken clouds
166,Saskylakh,RU,71.92,114.08,34.68,96,100,19.46,light rain
167,Klaksvik,FO,62.23,-6.59,54.52,85,45,14.09,scattered clouds
168,Fairbanks,US,64.84,-147.72,37.6,83,90,0.0,overcast clouds
169,Puli,TW,23.97,120.97,75.79,90,37,3.87,scattered clouds
170,Masterton,NZ,-40.96,175.66,48.88,92,100,12.26,overcast clouds
171,Sheridan,US,44.83,-106.92,70.3,49,1,0.0,clear sky
172,New Norfolk,AU,-42.78,147.06,44.91,72,92,1.77,overcast clouds
173,Maturin,VE,9.75,-63.18,87.55,61,30,6.17,scattered clouds
174,Seymchan,RU,62.88,152.43,44.13,76,10,4.99,clear sky
175,Warrington,GB,53.39,-2.58,71.82,67,20,1.99,few clouds
176,Bambous Virieux,MU,-20.34,57.76,71.85,83,75,3.44,light rain
177,Moose Factory,CA,51.26,-80.61,64.38,55,1,17.27,clear sky
178,Shache,CN,38.42,77.24,77.99,19,34,7.78,scattered clouds
179,Tilichiki,RU,60.47,166.1,38.93,84,79,2.01,broken clouds
180,Toba,JP,34.48,136.85,77.0,75,100,19.73,overcast clouds
181,Kuytun,RU,54.34,101.5,42.73,96,97,4.34,overcast clouds
182,Druzhba,UA,52.04,33.95,51.64,53,3,4.83,clear sky
183,Vodnyy,RU,63.5,53.41,41.92,91,100,6.08,overcast clouds
184,Merrill,US,45.18,-89.68,69.57,66,40,5.75,scattered clouds
185,Simpang,ID,-1.27,104.08,76.23,92,59,2.57,broken clouds
186,Mandera,KE,3.94,41.87,88.52,43,97,15.32,overcast clouds
187,Plettenberg Bay,ZA,-34.05,23.37,55.33,70,56,9.37,broken clouds
188,Cabo San Lucas,MX,22.89,-109.91,86.5,76,1,3.44,clear sky
189,Ust-Kulom,RU,61.69,53.69,42.55,90,99,7.9,overcast clouds
190,Naze,JP,28.37,129.48,78.8,86,99,12.46,overcast clouds
191,Waipawa,NZ,-41.41,175.52,45.45,76,100,18.41,overcast clouds
192,Kahului,US,20.89,-156.47,76.26,82,1,0.0,clear sky
193,Kyren,RU,51.68,102.14,48.97,81,83,0.16,broken clouds
194,Kavaratti,IN,10.57,72.64,81.64,79,71,13.89,broken clouds
195,Suicheng,CN,33.9,117.93,67.87,87,0,4.92,light rain
196,Khatanga,RU,71.97,102.5,33.6,84,100,4.34,overcast clouds
197,Baft,IR,29.23,56.61,73.74,15,2,3.24,clear sky
198,Adrar,MR,20.5,-10.07,103.01,13,45,5.95,scattered clouds
199,Sagar,IN,23.83,78.72,73.08,96,100,8.99,overcast clouds
200,Sorong,ID,-0.88,131.25,78.69,84,100,4.32,overcast clouds
201,Balabac,PH,7.99,117.06,79.65,78,100,6.02,overcast clouds
202,Sao Filipe,CV,14.9,-24.5,81.14,76,90,13.13,overcast clouds
203,Sieradz,PL,51.6,18.73,69.73,85,98,7.2,overcast clouds
204,Xuddur,SO,4.12,43.89,86.29,42,100,9.66,overcast clouds
205,Umtata,ZA,-31.59,28.78,50.56,87,90,9.22,light rain
206,Vostok,RU,46.49,135.88,49.08,98,100,3.78,overcast clouds
207,Sept-Iles,CA,50.2,-66.38,63.05,68,75,5.99,broken clouds
208,Esmeraldas,BR,-19.76,-44.31,87.91,24,1,10.02,clear sky
209,Vydrino,RU,51.48,104.85,50.86,78,78,4.74,broken clouds
210,Tucumcari,US,35.17,-103.72,75.04,50,1,24.16,clear sky
211,Maniitsoq,GL,65.42,-52.9,37.11,45,100,2.35,overcast clouds
212,Nara,JP,34.69,135.8,74.48,82,100,6.11,overcast clouds
213,Vardo,NO,70.37,31.11,43.0,75,75,2.3,broken clouds
214,Mirosov,CZ,49.69,13.66,67.01,89,98,7.25,light rain
215,Kuyanovo,RU,55.8,54.54,45.05,70,100,15.17,overcast clouds
216,Sabha,LY,27.04,14.43,90.63,14,0,8.39,clear sky
217,Rocha,UY,-34.48,-54.33,67.75,45,0,5.66,clear sky
218,Qui Nhon,VN,13.77,109.23,79.32,87,100,5.06,overcast clouds
219,Bredasdorp,ZA,-34.53,20.04,61.92,45,95,10.36,overcast clouds
220,Quelimane,MZ,-17.88,36.89,80.55,69,0,16.11,clear sky
221,Lorengau,PG,-2.02,147.27,78.17,81,97,4.52,overcast clouds
222,Balikpapan,ID,-1.27,116.83,73.54,91,100,3.76,overcast clouds
223,Kieta,PG,-6.22,155.63,76.77,85,17,4.88,light rain
224,Narsaq,GL,60.92,-46.05,41.22,72,100,5.82,overcast clouds
225,Gotsu,JP,35.0,132.22,72.88,81,100,6.78,overcast clouds
226,Kawalu,ID,-7.38,108.21,72.9,97,87,2.01,overcast clouds
227,South Yuba City,US,39.12,-121.64,81.61,75,1,4.61,clear sky
228,Salalah,OM,17.02,54.09,80.69,94,90,11.5,overcast clouds
229,Jalu,LY,29.03,21.55,88.66,18,0,11.14,clear sky
230,Mahebourg,MU,-20.41,57.7,71.89,83,75,3.44,light rain
231,Constitucion,CL,-35.33,-72.42,60.08,60,0,13.06,clear sky
232,Lagoa,PT,39.05,-27.98,71.89,75,14,8.61,few clouds
233,Luderitz,NA,-26.65,15.16,70.16,39,1,30.89,clear sky
234,Bubaque,GW,11.28,-15.83,81.79,68,86,1.88,overcast clouds
235,Gimli,CA,50.63,-96.99,51.82,82,100,4.61,overcast clouds
236,Neya,RU,58.3,43.87,45.01,59,100,5.84,overcast clouds
237,Provideniya,RU,64.38,-173.3,37.4,76,100,1.63,overcast clouds
238,Abu Samrah,SY,35.3,37.18,77.7,41,1,13.22,clear sky
239,Vung Tau,VN,10.35,107.08,81.09,79,100,5.82,overcast clouds
240,Ariogala,LT,55.27,23.47,55.98,79,100,10.54,overcast clouds
241,Ugoofaaru,MV,5.67,73.0,83.12,74,13,12.62,few clouds
242,Nizwa,OM,22.93,57.53,88.93,26,58,7.87,broken clouds
243,Port-Gentil,GA,-0.72,8.78,78.03,80,22,13.04,few clouds
244,Hasaki,JP,35.73,140.83,68.4,64,100,10.54,overcast clouds
